Experiment #,Group,Animal ID#,Immunization time (days),WNV DIII Vaccine (痢),Adjuvant 1 MP7-OH (痢),Adjuvant 2 CpG (痢),WBC (*1000/無),NUET CTs (*1000/無),NEU%,LYM CTs (*1000/無),LYM%,MONO CTs (*1000/無),MONO%,EOS CTs (*1000/無),EOS%,BASO CTs (*1000/無),BASO%,RBC (*10^6/無),HGB (g/dL),HCT %,MCV (fL),MCH (pg),MCHC (g/dL),RDW %,PLT (*1000/無),MPV (fL)
2,5,S2419,28,45,21.3,30,4.8,0.869,18.1,3.58,74.6,0.314,6.55,0,0,0.034,0.7,6.58,12.5,39,59.3,19,32.1,14.9,415,4.7
2,5,S2419,42,45,21.3,30,5,0.619,12.4,3.81,76.2,0.549,11,0,0,0.02,0.395,6.42,12.3,38.3,59.7,19.1,32,18.2,403,4.66
2,5,S2420,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,5,S2420,28,45,21.3,30,5.19,1.02,19.6,3.2,61.6,0.809,15.6,0,0,0.167,3.22,7.12,13.9,42.8,60,19.5,32.5,16.4,375,6.3
2,5,S2420,42,45,21.3,30,4.5,0.722,16,3.16,70.3,0.565,12.6,0,0,0.05,1.1,6.98,13.4,42.4,60.7,19.2,31.6,15.8,381,5.44
2,6,S2431,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,6,S2431,28,45,42.6,60,3.84,1.18,31.6,2.02,54.1,0.484,12.9,0,0,0.05,1.35,6.38,12.6,39.6,62.2,19.7,31.7,15.9,474,5.24
2,6,S2431,42,45,42.6,60,3.36,0.841,25.1,1.75,52.2,0.7,20.9,0,0,0.062,1.85,5.87,11.5,36.7,62.6,19.6,31.3,17.3,365,5.41
2,6,S2432,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,6,S2432,28,45,42.6,60,6.07,1.14,18.8,4.34,71.6,0.53,8.73,0,0,0.055,0.898,5.7,11.6,35,61.5,20.4,33.1,15.5,427,4.72
2,6,S2432,42,45,42.6,60,6.82,1.17,17.1,5.1,74.7,0.533,7.82,0,0,0.025,0.371,6.22,12.5,38.9,62.6,20,32,16.7,428,4.71
2,6,S2433,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2,6,S2433,28,45,42.6,60,5.2,1.2,23.2,2.96,56.9,0.923,17.8,0,0,0.112,2.16,5.64,11.9,36.4,64.6,21.1,32.6,13.8,584,4.92
2,6,S2433,42,45,42.6,60,2.57,0.831,32.4,0.791,30.8,0.822,32,0,0,0.122,4.77,5.94,12.3,38.8,65.3,20.7,31.6,15.1,563,4.77
2,6,S2434,0,0,0,0,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
